,FRA 2015 forest area (1000 ha),,,,
Row Labels,1990,2000,2005,2010,2015
MAR,4954,4993,5401,5672,5632
ABW,0.42,0.42,0.42,0.42,0.42
AFG,1350,1350,1350,1350,1350
AGO,60976,59728,59104,58480,57856
AIA,5.5,5.5,5.5,5.5,5.5
ALB,788.8,769.3,782.4,776.3,771.5
AND,16,16,16,16,16
ANT,1.18,1.18,1.18,1.18,1.18
ARE,245,310,312,317.3,322.6
ARG,34793,31860,30186,28596,27112
ARM,335,333,332,331,332
ASM,18.388,18.05,17.881,17.712,17.543
ATG,10.3,10,9.8,9.8,9.8
AUS,128541,128841,127641,123211,124751
AUT,3776,3838,3851,3860,3869
AZE,851.8,871.8,877.2,1008.3,1139.4
BDI,289,198,181,253,276
BEL,677.4,667.3,674.2,681.2,683.4
BEN,5761,5061,4811,4561,4311
BFA,6847,6248,5949,5649,5350
BGD,1494,1468,1455,1442,1429
BGR,3327,3375,3651,3737,3823
BHR,0.216,0.371,0.448,0.526,0.604
BHS,515,515,515,515,515
BIH,2210,2185,2185,2185,2185
BLM,0,0,0,0,0
BLR,7780,8273,8436,8534,8633.5
BLZ,1616.027,1459.301,1416.53,1391.391,1366.3
BMU,1,1,1,1,1
BOL,62795,60091,58734,56209,54764
BRA,546705,521274,506734,498458,493538
BRB,6.3,6.3,6.3,6.3,6.3
BRN,413,397,389,380,380
BTN,2506.714,2606.002,2655.647,2705.291,2754.935
BWA,13718,12535,11943,11351,10840
CAF,22560,22404,22326,22248,22170
CAN,348273,347802,347576,347302,347069
CHE,1151,1194,1217,1235,1254
CHL,15263,15834,16042,16231,17735
CHN,157140.6,177000.5,193043.9,200610.3,208321.3
CIV,10222,10328,10405,10403,10401
CMR,24316,22116,21016,19916,18816
COD,160363,157249,155692,154135,152578
COG,22726,22556,22471,22411,22334
COK,14.4,15.1,15.1,15.1,15.1
COL,64417,61798.44,60201.36,58635.32,58501.74
COM,49,45,42,39,37
CPV,57.75,82.09,83.59,85.09,89.903
CRI,2564,2376,2491,2605,2756
CUB,2058,2435,2697,2932,3200
CYM,12.7,12.7,12.7,12.7,12.7
CYP,161.11,171.61,172.851,172.841,172.7
CZE,2629,2637,2647,2657,2667
DEU,11300,11354,11384,11409,11419
DJI,5.6,5.6,5.6,5.6,5.6
