ISO3,Country,Language,,,,,,
AGO,Angola,FR,,,,,AR,Arabic
AFG,Afghanistan,EN,,,,,EN,English
ARM,Armenia,EN,,,,,ES,Spanish
AZE,Azerbaijan,EN,,,,,FR,French
ARE,United Arab Emirates,EN,,,,,RU,Russian
ALB,Albania,EN,,,,,,
AND,Andorra,ES,,,,,,
AUT,Austria,EN,,,,,,
AIA,Anguilla,EN,,,,,,
ATG,Antigua and Barbuda,EN,,,,,,
ABW,Aruba,EN,,,,,,
ASM,American Samoa,EN,,,,,,
AUS,Australia,EN,,,,,,
ARG,Argentina,ES,,,,,,
BWA,Botswana,EN,,,,,,
BEN,Benin,FR,,,,,,
BFA,Burkina Faso,FR,,,,,,
BDI,Burundi,FR,,,,,,
BGD,Bangladesh,EN,,,,,,
BTN,Bhutan,EN,,,,,,
BRN,Brunei Darussalam,EN,,,,,,
BHR,Bahrain,AR,,,,,,
BLR,Belarus,RU,,,,,,
BEL,Belgium,EN,,,,,,
BIH,Bosnia and Herzegovina,EN,,,,,,
BGR,Bulgaria,EN,,,,,,
BHS,Bahamas,EN,,,,,,
BRB,Barbados,EN,,,,,,
BMU,Bermuda,EN,,,,,,
BES,"Bonaire, Sint Eustatius and Saba",EN,,,,,,
BLM,Saint Barthélemy,FR,,,,,,
BLZ,Belize,EN,,,,,,
BOL,Bolivia (plurinational state of),ES,,,,,,
BRA,Brazil,EN,,,,,,
COM,Comoros,FR,,,,,,
CMR,Cameroon,FR,,,,,,
CPV,Cabo Verde,EN,,,,,,
CAF,Central African Republic,FR,,,,,,
COG,Congo,FR,,,,,,
CIV,Côte d'Ivoire,FR,,,,,,
COD,Democratic Republic of the Congo,FR,,,,,,
CHN,China,EN,,,,,,
CYP,Cyprus,EN,,,,,,
CZE,Czechia,EN,,,,,,
CHE,Switzerland,EN,,,,,,
CYM,Cayman Islands,EN,,,,,,
CUB,Cuba,ES,,,,,,
CUW,Curaçao,EN,,,,,,
CRI,Costa Rica,ES,,,,,,
CAN,Canada,EN,,,,,,
COK,Cook Islands,EN,,,,,,
CHL,Chile,ES,,,,,,
COL,Colombia,ES,,,,,,
DJI,Djibouti,FR,,,,,,
DZA,Algeria,FR,,,,,,
DNK,Denmark,EN,,,,,,
DEU,Germany,EN,,,,,,
DMA,Dominica,EN,,,,,,
DOM,Dominican Republic,ES,,,,,,
ERI,Eritrea,EN,,,,,,
ETH,Ethiopia,EN,,,,,,
EGY,Egypt,AR,,,,,,
ESH,Western Sahara,FR,,,,,,
EST,Estonia,EN,,,,,,
ESP,Spain,ES,,,,,,
ECU,Ecuador,ES,,,,,,
FRO,Faroe Islands,EN,,,,,,
FIN,Finland,EN,,,,,,
FRA,France,FR,,,,,,
FJI,Fiji,EN,,,,,,
FSM,Micronesia (Federated States of),EN,,,,,,
FLK,Falkland Islands (Malvinas),EN,,,,,,
GNQ,Equatorial Guinea,ES,,,,,,
GAB,Gabon,FR,,,,,,
GMB,Gambia,EN,,,,,,
GHA,Ghana,EN,,,,,,
GIN,Guinea,FR,,,,,,
GNB,Guinea-Bissau,FR,,,,,,
GEO,Georgia,EN,,,,,,
GIB,Gibraltar,EN,,,,,,
GRC,Greece,EN,,,,,,
GGY,Guernsey,EN,,,,,,
GBR,United Kingdom of Great Britain and Northern Ireland,EN,,,,,,
GRD,Grenada,EN,,,,,,
GLP,Guadeloupe,FR,,,,,,
GTM,Guatemala,ES,,,,,,
GRL,Greenland,EN,,,,,,
GUM,Guam,EN,,,,,,
GUF,French Guiana,FR,,,,,,
GUY,Guyana,EN,,,,,,
HRV,Croatia,EN,,,,,,
HUN,Hungary,EN,,,,,,
HTI,Haiti,FR,,,,,,
HND,Honduras,ES,,,,,,
IND,India,EN,,,,,,
IDN,Indonesia,EN,,,,,,
IRN,Iran (Islamic Republic of),EN,,,,,,
IRQ,Iraq,AR,,,,,,
ISR,Israel,EN,,,,,,
ISL,Iceland,EN,,,,,,
IRL,Ireland,EN,,,,,,
IMN,Isle of Man,EN,,,,,,
ITA,Italy,EN,,,,,,
JPN,Japan,EN,,,,,,
JOR,Jordan,AR,,,,,,
JEY,Jersey,EN,,,,,,
JAM,Jamaica,EN,,,,,,
KEN,Kenya,EN,,,,,,
KOR,Republic of Korea,EN,,,,,,
KHM,Cambodia,EN,,,,,,
KAZ,Kazakhstan,RU,,,,,,
KWT,Kuwait,EN,,,,,,
KGZ,Kyrgyzstan,RU,,,,,,
KNA,Saint Kitts and Nevis,EN,,,,,,
KIR,Kiribati,EN,,,,,,
LSO,Lesotho,EN,,,,,,
