ISO 3,#,English
ALB,2,Albania
AND,5,Andorra
AUT,13,Austria  
BLR,19,Belarus  
BEL,20,Belgium
BIH,27,Bosnia and Herzegovina  
BGR,32,Bulgaria  
HRV,50,Croatia
CYP,53,Cyprus
CZE,54,Czechia
DNK,57,Denmark
EST,66,Estonia  
FIN,71,Finland
FRA,72,France
GEO,77,Georgia  
DEU,78,Germany  
GRC,81,Greece  
VAT,92,Holy See
HUN,94,Hungary
ISL,95,Iceland
IRL,100,Ireland
ITA,103,Italy
LVA,114,Latvia
LIE,119,Liechtenstein  
LTU,120,Lithuania
LUX,121,Luxembourg
MLT,127,Malta
MCO,135,Monaco
MNE,137,Montenegro
NLD,145,Netherlands
NOR,154,Norway
POL,165,Poland
PRT,166,Portugal
MDA,170,Republic of Moldova
ROU,172,Romania
RUS,173,Russian Federation
SRB,187,Serbia
SVK,192,Slovakia
SVN,193,Slovenia
ESP,198,Spain
SWE,204,Sweden
CHE,205,Switzerland  
MKD,209,The former Yugoslav Republic of Macedonia
TUR,216,Turkey
UKR,221,Ukraine  
GBR,223,United Kingdom
