ISO 3,M49,#,Country name,Land area 2015 (1000 ha) as of FAOSTAT,Comment
AFG,4,1,Afghanistan  ,65286,
ALB,8,2,Albania,2740,
DZA,12,3,Algeria,238174,
ASM,16,4,American Samoa,20,
AND,20,5,Andorra,47,
AGO,24,6,Angola ,124670,
AIA,660,7,Anguilla,9,
ATG,28,8,Antigua and Barbuda,44,
ARG,32,9,Argentina,273669,
ARM,51,10,Armenia  ,2847,
ABW,533,11,Aruba,18,
AUS,36,12,Australia  ,768230,
AUT,40,13,Austria  ,8252,
AZE,31,14,Azerbaijan,8266,
BHS,44,15,Bahamas,1001,
BHR,48,16,Bahrain,77,
BGD,50,17,Bangladesh  ,13017,
BRB,52,18,Barbados,43,
BLR,112,19,Belarus  ,20291,
BEL,56,20,Belgium,3028,
BLZ,84,21,Belize  ,2281,
BEN,204,22,Benin,11276,
BMU,60,23,Bermuda,5,
BTN,64,24,Bhutan  ,3812,
BOL,68,25,Bolivia (plurinational state of),108330,
BES,535,26,"Bonaire, Sint Eustatius and Saba",,Former Netherlands Antilles
BIH,70,27,Bosnia and Herzegovina  ,5120,
BWA,72,28,Botswana,56673,
BRA,76,29,Brazil  ,835814,
VGB,92,30,British Virgin Islands,15,
BRN,96,31,Brunei Darussalam  ,527,
BGR,100,32,Bulgaria  ,10856,
BFA,854,33,Burkina Faso  ,27360,
BDI,108,34,Burundi  ,2568,
KHM,116,35,Cambodia,17652,
CMR,120,36,Cameroon,47271,
CAN,124,37,Canada,909351,
CPV,132,38,Cabo Verde,403,
CYM,136,39,Cayman Islands,24,
CAF,140,40,Central African Republic  ,62298,
TCD,148,41,Chad  ,125920,
CHL,152,42,Chile  ,74353,
CHN,156,43,China,942470,
COL,170,44,Colombia  ,110950,
COM,174,45,Comoros,186,
COG,178,46,Congo  ,34150,
COK,184,47,Cook Islands,24,
CRI,188,48,Costa Rica,5106,
CIV,384,49,Cªte d'Ivoire  ,31800,
HRV,191,50,Croatia,5596,
CUB,192,51,Cuba,10402,
CUW,531,52,Curaçao,,Former Netherlands Antilles
CYP,196,53,Cyprus,924,
CZE,203,54,Czechia,7722,
PRK,408,55,Democratic People's Republic of Korea,12041,
COD,180,56,Democratic Republic of the Congo,226705,
DNK,208,57,Denmark,4199,
DJI,262,58,Djibouti,2318,
DMA,212,59,Dominica,75,
DOM,214,60,Dominican Republic  ,4831,
ECU,218,61,Ecuador  ,24836,
EGY,818,62,Egypt,99545,
SLV,222,63,El Salvador  ,2072,
GNQ,226,64,Equatorial Guinea,2805,
ERI,232,65,Eritrea,10100,
EST,233,66,Estonia  ,4239,
ETH,231,67,Ethiopia,100000,
FRO,234,68,Faeroe Islands,140,
FLK,238,69,Falkland Islands (Malvinas),1217,
FJI,242,70,Fiji,1827,
FIN,246,71,Finland,30391,
FRA,250,72,France,54756,
GUF,254,73,French Guiana,8220,
PYF,258,74,French Polynesia  ,366,
GAB,266,75,Gabon,25767,
GMB,270,76,Gambia  ,1012,
GEO,268,77,Georgia  ,6949,
DEU,276,78,Germany  ,34886,
GHA,288,79,Ghana,22754,
GIB,292,80,Gibraltar,1,
GRC,300,81,Greece  ,12890,
GRL,304,82,Greenland,41045,
GRD,308,83,Grenada,34,
GLP,312,84,Guadeloupe,162,
GUM,316,85,Guam,54,
GTM,320,86,Guatemala,10716,
GGY,831,87,Guernsey,8,
GIN,324,88,Guinea,24572,
GNB,624,89,Guinea-Bissau  ,2812,
GUY,328,90,Guyana  ,19685,
HTI,332,91,Haiti,2756,
VAT,336,92,Holy See,0,
HND,340,93,Honduras  ,11189,
HUN,348,94,Hungary,9053,
ISL,352,95,Iceland,10025,
IND,356,96,India,297319,
IDN,360,97,Indonesia,181157,
IRN,364,98,Iran (Islamic Republic of),162876,
IRQ,368,99,Iraq  ,43432,
IRL,372,100,Ireland,6889,
IMN,833,101,Isle of Man,57,
ISR,376,102,Israel  ,2164,
ITA,380,103,Italy,29414,
JAM,388,104,Jamaica  ,1083,
JPN,392,105,Japan,36456,
JEY,832,106,Jersey,12,
JOR,400,107,Jordan,8878,
KAZ,398,108,Kazakhstan  ,269970,
KEN,404,109,Kenya  ,56914,
KIR,296,110,Kiribati,81,
KWT,414,111,Kuwait,1782,
KGZ,417,112,Kyrgyzstan  ,19180,
LAO,418,113,Lao People's Democratic Republic,23080,
LVA,428,114,Latvia,6218,
LBN,422,115,Lebanon,1023,
LSO,426,116,Lesotho  ,3036,
LBR,430,117,Liberia  ,9632,
LBY,434,118,Libya,175954,
LIE,438,119,Liechtenstein  ,16,
LTU,440,120,Lithuania,6265,
LUX,442,121,Luxembourg,259,
MDG,450,122,Madagascar,58180,
MWI,454,123,Malawi,9428,
MYS,458,124,Malaysia  ,32855,
MDV,462,125,Maldives,30,
MLI,466,126,Mali,122019,
MLT,470,127,Malta,32,
MHL,584,128,Marshall Islands,18,
MTQ,474,129,Martinique,106,
MRT,478,130,Mauritania,103070,
MUS,480,131,Mauritius,203,
MYT,175,132,Mayotte,37,
MEX,484,133,Mexico  ,194395,
FSM,583,134,Micronesia (Federated States of),70,
MCO,492,135,Monaco,0,
MNG,496,136,Mongolia  ,155356,
MNE,499,137,Montenegro,1345,
MSR,500,138,Montserrat  ,10,
MAR,504,139,Morocco  ,44630,
MOZ,508,140,Mozambique  ,78638,
MMR,104,141,Myanmar,65308,
NAM,516,142,Namibia,82329,
NRU,520,143,Nauru,2,
NPL,524,144,Nepal  ,14335,
NLD,528,145,Netherlands,3369,
NCL,540,146,New Caledonia  ,1828,
NZL,554,147,New Zealand  ,26331,
NIC,558,148,Nicaragua  ,12034,
NER,562,149,Niger,126670,
NGA,566,150,Nigeria  ,91077,
NIU,570,151,Niue,26,
NFK,574,152,Norfolk Island,4,
MNP,580,153,Northern Mariana Islands,46,
NOR,578,154,Norway,30413,
PSE,275,155,Palestine,602,
OMN,512,156,Oman  ,30950,
PAK,586,157,Pakistan  ,77088,
PLW,585,158,Palau,46,
PAN,591,159,Panama  ,7434,
PNG,598,160,Papua New Guinea  ,45286,
PRY,600,161,Paraguay  ,39730,
PER,604,162,Peru  ,128000,
PHL,608,163,Philippines  ,29817,
PCN,612,164,Pitcairn,5,
POL,616,165,Poland,30619,
PRT,620,166,Portugal,9161,
PRI,630,167,Puerto Rico  ,887,
QAT,634,168,Qatar,1161,
KOR,410,169,Republic of Korea,9748,
MDA,498,170,Republic of Moldova,3287,
REU,638,171,R_union,251,
ROU,642,172,Romania,23008,
RUS,643,173,Russian Federation,1637687,
RWA,646,174,Rwanda  ,2467,
SHN,654,175,Saint Helena  ,39,
KNA,659,176,Saint Kits and Nevis,26,
LCA,662,177,Saint Lucia,61,
MAF,663,178,Saint Martin (French part),5,
SPM,666,179,Saint Pierre and Miquelon  ,23,
VCT,670,180,Saint Vincent and the Grenadines,39,
BLM,652,181,Saint-Barth_lemy,2,
WSM,882,182,Samoa,283,
SMR,674,183,San Marino,6,
STP,678,184,Sao Tome and Principe,96,
SAU,682,185,Saudi Arabia,214969,
SEN,686,186,Senegal,19253,
SRB,688,187,Serbia,8746,
SYC,690,188,Seychelles,46,
SLE,694,189,Sierra Leone  ,7218,
