country_iso,list_name_en,full_name_en,language
"ABW","Aruba","Aruba","en"
"AFG","Afghanistan","The Islamic Republic of Afghanistan","en"
"AGO","Angola","the Republic of Angola","en"
"AIA","Anguilla","Anguilla","en"
"ALB","Albania","the Republic of Albania","en"
"AND","Andorra","the Principality of Andorra","en"
"ARE","United Arab Emirates","the United Arab Emirates","en"
"ARG","Argentina","the Argentine Republic","en"
"ARM","Armenia","the Republic of Armenia","en"
"ASM","American Samoa","American Samoa","en"
"ATG","Antigua and Barbuda","Antigua and Barbuda","en"
"AUS","Australia","Australia","en"
"AUT","Austria","the Republic of Austria","en"
"AZE","Azerbaijan","the Republic of Azerbaijan","en"
"BDI","Burundi","the Republic of Burundi","en"
"BEL","Belgium","the Kingdom of Belgium","en"
"BEN","Benin","the Republic of Benin","en"
"BES","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","en"
"BFA","Burkina Faso","Burkina Faso","en"
"BGD","Bangladesh","the People's Republic of Bangladesh","en"
"BGR","Bulgaria","the Republic of Bulgaria","en"
"BHR","Bahrain","the Kingdom of Bahrain","en"
"BHS","Bahamas","the Commonwealth of the Bahamas","en"
"BIH","Bosnia and Herzegovina","Bosnia and Herzegovina","en"
"BLM","Saint Barthélemy","Saint Barthélemy","en"
"BLR","Belarus","the Republic of Belarus","en"
"BLZ","Belize","Belize","en"
"BMU","Bermuda","Bermuda","en"
"BOL","Bolivia (Plurinational State of)","the Plurinational State of Bolivia","en"
"BRA","Brazil","the Federative Republic of Brazil","en"
"BRB","Barbados","Barbados","en"
"BRN","Brunei Darussalam","Brunei Darussalam","en"
"BTN","Bhutan","the Kingdom of Bhutan","en"
"BWA","Botswana","the Republic of Botswana","en"
"CAF","Central African Republic","the Central African Republic","en"
"CAN","Canada","Canada","en"
"CHE","Switzerland","the Swiss Confederation","en"
"CHL","Chile","the Republic of Chile","en"
"CHN","China","the People's Republic of China","en"
"CIV","Côte d'Ivoire","the Republic of Côte d'Ivoire","en"
"CMR","Cameroon","the Republic of Cameroon","en"
"COD","Democratic Republic of the Congo","the Democratic Republic of the Congo","en"
"COG","Congo","the Republic of the Congo","en"
"COK","Cook Islands","the Cook Islands","en"
"COL","Colombia","the Republic of Colombia","en"
"COM","Comoros","the Union of the Comoros","en"
"CPV","Cabo Verde","Republic of Cabo Verde","en"
"CRI","Costa Rica","the Republic of Costa Rica","en"
"CUB","Cuba","the Republic of Cuba","en"
"CUW","Curaçao","Curaçao","en"
"CYM","Cayman Islands","Cayman Islands","en"
"CYP","Cyprus","the Republic of Cyprus","en"
"CZE","Czechia","the Czech Republic","en"
"DEU","Germany","the Federal Republic of Germany","en"
"DJI","Djibouti","the Republic of Djibouti","en"
"DMA","Dominica","the Commonwealth of Dominica","en"
"DNK","Denmark","the Kingdom of Denmark","en"
"DOM","Dominican Republic","the Dominican Republic","en"
"DZA","Algeria","the People's Democratic Republic of Algeria","en"
"ECU","Ecuador","the Republic of Ecuador","en"
"EGY","Egypt","the Arab Republic of Egypt","en"
"ERI","Eritrea","the State of Eritrea","en"
"ESH","Western Sahara","Western Sahara","en"
"ESP","Spain","the Kingdom of Spain","en"
"EST","Estonia","the Republic of Estonia","en"
"ETH","Ethiopia","the Federal Democratic Republic of Ethiopia","en"
"FIN","Finland","the Republic of Finland","en"
"FJI","Fiji","the Republic of Fiji","en"
"FLK","Falkland Islands (Malvinas)","the Falkland Islands (Malvinas)","en"
"FRA","France","the French Republic","en"
"FRO","Faroe Islands (Associate Member)","Faroe Islands","en"
"FSM","Micronesia (Federated States of)","the Federated States of Micronesia","en"
"GAB","Gabon","the Gabonese Republic","en"
"GBR","United Kingdom","the United Kingdom of Great Britain and Northern Ireland","en"
"GEO","Georgia","Georgia","en"
"GGY","Guernsey","Bailiwick of Guernsey","en"
"GHA","Ghana","the Republic of Ghana","en"
"GIB","Gibraltar","Gibraltar","en"
"GIN","Guinea","the Republic of Guinea","en"
"GLP","Guadeloupe","Guadeloupe","en"
"GMB","Gambia","the Republic of the Gambia","en"
"GNB","Guinea-Bissau","the Republic of Guinea-Bissau","en"
"GNQ","Equatorial Guinea","the Republic of Equatorial Guinea","en"
"GRC","Greece","the Hellenic Republic","en"
"GRD","Grenada","Grenada","en"
"GRL","Greenland","Greenland","en"
"GTM","Guatemala","the Republic of Guatemala","en"
"GUF","French Guyana","French Guyana","en"
"GUM","Guam","Guam","en"
"GUY","Guyana","the Republic of Guyana","en"
"HND","Honduras","the Republic of Honduras","en"
"HRV","Croatia","the Republic of Croatia","en"
"HTI","Haiti","the Republic of Haiti","en"
"HUN","Hungary","Hungary","en"
"IDN","Indonesia","the Republic of Indonesia","en"
"IMN","Isle of Man","Isle of Man","en"
"IND","India","the Republic of India","en"
"IRL","Ireland","Ireland","en"
"IRN","Iran (Islamic Republic of)","the Islamic Republic of Iran","en"
"IRQ","Iraq","the Republic of Iraq","en"
"ISL","Iceland","the Republic of Iceland","en"
"ISR","Israel","the State of Israel","en"
"ITA","Italy","the Republic of Italy","en"
"JAM","Jamaica","Jamaica","en"
"JEY","Jersey","Jersey","en"
"JOR","Jordan","the Hashemite Kingdom of Jordan","en"
"JPN","Japan","Japan","en"
"KAZ","Kazakhstan","the Republic of Kazakhstan","en"
"KEN","Kenya","the Republic of Kenya","en"
"KGZ","Kyrgyzstan","the Kyrgyz Republic","en"
"KHM","Cambodia","the Kingdom of Cambodia","en"
